text,label,source,relevance
"•
(2018-19)
~ ~-110001
a.H'iI$C q;r 'CJ('IT: http://morth.nic.in/
~""GCji)UI: 'fl1<A1..-'ll('1: ~ ~ ti"" 'fl('f(1"", ~, ~ 3ltt 3i('1HI""'~'ll ~ ~ ('1l'icrl?I'll
~ ~
m
alola(""('11 ~ 3ltt fm~~ ~ ~ tiil;:JICfi('11 ""QCf (""a~('1 ~l'rncrr I,;j'fl:('f <fiT
.:>
~ t f81 'flfI 'fll<AIf81 Cfi-3fTffiq;- fcICfil'fl ~ ~ I
• ~r ti"" ~ man- fm~m ~ <11('11<11('1<fir f.r.tItl 31lal;:JIlti c); ~
.:>
3i('1HI""'ti<1 <AI01Cfi1~ ~ a'lc::ach ti"" {1""'ti<1 {1;:JI<Alan c); a'lc::ach q;)"" fclCfiifl('1
I
Cfi{G'If
m
• '!.a'f(""('1{ ti"" 31ll?;al'!""11 ahIT 'fl'dt:r ~ 3dJal(\ ~ (Ql'iSG(>""l$) ~
~ ahIT ~ ~-c:mr c); .3f<>TdT-.3f<>TdT ahIT c); ~ aittc=r ~ ~ I
• ~ a'lc::ach c); <Hlt-<:r<H"" ~ CfiT<ta=r<H"" 3ltt mffiic:r qf{ai\01 t<1 crI~IRl<1i BlfcI=CfiiflR't:::r('1
.:> ~
3ltt
Cfi{G'If 3""01""CfiT f?f><1I..-a<101 WTd1 0I01T01TI
~
• ~ElCjiIft>1Cji ~8;--.:r q;)"" ~ ~ ~ q~cti\01 <fir ~au t<1 &lctftrr ~
.:> .:>
I
Cfi{G'If
• 3i('1HI""'ti<1 <AI01Cfi1c); 'fl<A('1(>'<l mffiic:r, ~-~]'(>f 3ltt mtn-~ 311C::)<H)<i1$1'i
.j.j .j .j
I
~ ~ ~ Cfi{G'If",REQUIRES_REVIEW,MoRTH_MOTOR,LOW
"INDUCTION MATERIAL
BHARAT SARKAR
GOVERNMENT OF INDIA
(Organization & Methods, May 2019)
SADAK PARIVAHAN EVAM RAJMARG MANTRALAYA
MINISTRY OF ROAD TRANSPORT & HIGHWAYS
CONTENTS
PART-I
PAGENo.
1.
Functions and structure of the Organization & Organization set up
1-2
2.
Subject allocated to the Ministry of RoadTransport & Highways
3
PART- II
1. List of Wings/Divisionsl Sections
4-5
2. List of Subjects being dealt with byvarious
sectionsldesksl
Units of the Ministry of RoadTransport &
Highways
A. RoadTransport Wing
6-16
B. Highwayswing
17-19
C. Administration wing
20-34
D. Coordination Division
35
E. International Cooperation wing
36
F. Toll Division
37
G. LandAcquisition wing
38
H. Parliament wing
39
I. Financewing
40-43
J. EAPwing
44
K. PlanningWing
45-47
L. Roadswing
48-54
M. NHIDCLCell
55
N. Transport ResearchWing
56-57
ANNEXURES
I Organization Chart of the Ministry of RoadTransport & Highways
58
II. Orders pertaining to delegation of administrative &
59-105
Financialpowerswithin the Min",COMPLIANT,MoRTH_MOTOR,HIGH
"2
TABLE OF CONTENTS
Sr Wing Division/Section PAGE NO.
No
1. Administration Wing Establishment Division 3-8
RTI Section 8-9
O&M, Record Cell 9
IT Section 9-10
Hindi Section 10
Cash Section 10-11
Vigilance Division 11-13
General Section 14-16
Canteen/Welfare Section 16-17
E-Disha Section 17-18
2. Coordination Wing. Coordination Division 18-19
3. Parliament Wing Parliament Division 19-20
4. Land AcquisitionWing. Land Acquisition Division 20-21
5. Finance Wing. Finance Division 21
6. EAP Wing. EAP Division 21
7. Planning Wing Planning Division 21-22
8. Road Transport Wing Road Safety Division 22-24
MVL Division 24
Transport Division 24-25
9. NHIDCL Cell NHIDCL 25
10. Highways Wing P&P Section 25-26
BP &SP Srction 26-17
11. International Cooperation International Cooperation 27-28
Wing Division
3
Estt.-I & Estt.-IB (Non-Technical)
S.No Class of cases with brief subject Levels through which to be Decision
submitted to decision making making
level level
1. Framing of/amendment to the Level I ",REQUIRES_REVIEW,MoRTH_MOTOR,LOW
"------~----~-~
-• .. - --- t • ./ r--,
.., ~. ., '.
t - /' · ·,.
'._y
It-J:ll'':'mTRY CFB ROA1f'i1l;Uii""SPOP-.X t.J~u IDG.~~8
. N~-
. ; _ . . G~50i't'Eh J;-i t1nerc1se of the""·poiN$r&
Gon.rerrc~ ,, «~use (a; of sub-s.ot1on (<) ~f sect/on 34 of Not/one,
or
t_;,gr.ways Au_>oorti;y lndla Act, 19BB (68 of 1SBS), th• Contra!
Government noreby makes the follow/~g rules, horn•1y,.
~.. · . $~or~ tit!~ •~a oomrnen""""'""'""""t - (1) These rules rnav
bt_ Collect_ th,i Ni,t10.~i,1 Highways AuthorJt;y · of Ind/a (the tem, o'r
Mt,ce <>na 9thor cori<iftloos ofS0iv1co Of Mombers) Rules, 2(103,
.f;
n~~:i!""/c;\t(/:G1)n fr: TH~h~~ ·o[! moch1a~lri Gcifor;mt~·ta:: ·; ioto for,;,, on· ·'.he dote or- !:he'r
: &·,~ ,J J (,tfresf.;i M!n;tion• • Jn theso rules, un/e""s the context otherwise
. / ,,· '
"".ilet"" means the riatlonai · Highways Awthor1t,, of
India Act, .1988 (68 of 1988);
(b)
""Authiirlty"" means the Natlonsl Hlgt,ways Authority
of India constltute.d under section 3 or the Act;
""Ch0Jn11an"" means the Chairma",REQUIRES_REVIEW,MoRTH_MOTOR,LOW
"CIS Governance Division NIC-CISG/2025-03/055
Cyber and Information Security Group, Dated: 19-03-2025
National Informatics Centre,
A-Block, CGO Complex, Lodhi Road,
New Delhi - 110003 India
csg-advisory@nic.in
Advisory for Phishing
Description:
Phishing is a type of cyberattack where scammers impersonate trusted sources to trick
individuals into revealing sensitive information such as passwords, credit card numbers, or
personal details. These attacks often come through emails, messages, or fake websites designed
to look legitimate.
In view of above, NIC-Cyber Security Group advises following:
1. In case a phishing mail is received, do not enter your NIC Login Credentials when
redirected login prompt appears.
2. Delete phishing emails from your inbox.
3. In case, you have already clicked a phishing URL
a. Take your device offline – Disable your internet connection.
b. Change your password - You need to change the passwords for any accounts that
might have been hit in the cyberattack.
c. ",REQUIRES_REVIEW,MoRTH_MOTOR,LOW
"•
(2018-19)
~ ~-110001
a.H'iI$C q;r 'CJ('IT: http://morth.nic.in/
~""GCji)UI: 'fl1<A1..-'ll('1: ~ ~ ti"" 'fl('f(1"", ~, ~ 3ltt 3i('1HI""'~'ll ~ ~ ('1l'icrl?I'll
~ ~
m
alola(""('11 ~ 3ltt fm~~ ~ ~ tiil;:JICfi('11 ""QCf (""a~('1 ~l'rncrr I,;j'fl:('f <fiT
.:>
~ t f81 'flfI 'fll<AIf81 Cfi-3fTffiq;- fcICfil'fl ~ ~ I
• ~r ti"" ~ man- fm~m ~ <11('11<11('1<fir f.r.tItl 31lal;:JIlti c); ~
.:>
3i('1HI""'ti<1 <AI01Cfi1~ ~ a'lc::ach ti"" {1""'ti<1 {1;:JI<Alan c); a'lc::ach q;)"" fclCfiifl('1
I
Cfi{G'If
m
• '!.a'f(""('1{ ti"" 31ll?;al'!""11 ahIT 'fl'dt:r ~ 3dJal(\ ~ (Ql'iSG(>""l$) ~
~ ahIT ~ ~-c:mr c); .3f<>TdT-.3f<>TdT ahIT c); ~ aittc=r ~ ~ I
• ~ a'lc::ach c); <Hlt-<:r<H"" ~ CfiT<ta=r<H"" 3ltt mffiic:r qf{ai\01 t<1 crI~IRl<1i BlfcI=CfiiflR't:::r('1
.:> ~
3ltt
Cfi{G'If 3""01""CfiT f?f><1I..-a<101 WTd1 0I01T01TI
~
• ~ElCjiIft>1Cji ~8;--.:r q;)"" ~ ~ ~ q~cti\01 <fir ~au t<1 &lctftrr ~
.:> .:>
I
Cfi{G'If
• 3i('1HI""'ti<1 <AI01Cfi1c); 'fl<A('1(>'<l mffiic:r, ~-~]'(>f 3ltt mtn-~ 311C::)<H)<i1$1'i
.j.j .j .j
I
~ ~ ~ Cfi{G'If",REQUIRES_REVIEW,MoRTH_MOTOR,LOW
"191
1662628/2022/IT
~~i~1~Y (~..(.(.~.§..-~--~~
OF "". I. l~
HOME AFFAIRS
,ep ·rt
erer-mesal
cybercrime.gov.in
r
Call
1930
(Earlier 155260)
sistance
o
@CyberDostf4C @cyberdosti4c @cyberciost @cyberciosti4c @cyberdosU4c @cyt>erdostf4c
_._-_ Nota:AUthecomplaints arehaooled bv respectivIiI StatelUTPalioa,aspartheir jurisdiction
_-----_ .. ..-------
192
I
.~ ',l1'Itmw
1662628/2022/IT
MINISTRVOF
, ,HOMEAFFAIRS
_<AI,' "".'
193
1662628/2022/IT
ARE YOU A
VICTIM
OF
CYBER CRIME
?
•
REPORT ANY CYBERCRIME AT
. C'YBERCRIME.GDVJ!N
OR
DIAL 1930 (EARlIEIR 1552'60 )
FOR ASSISTANCE
Follow uson:
AA/w\ ~)
'\Y1
@C,'f>erDosfi4C @cyberdosli4c' @C}'OOtdoSf @cybero'osti4c @cyiJefdos!.,4c @r:ybetdosli4c
~,b!e !'1iil''it7co.nptauus are handled byrespeCli\.e Stale/Uf Police, asper theirJUrisdiction
i'I' - ------------ -'--'-.-----.--..-~.
194
0+ 00 a.~i:G D'0+OD040'
o
1662628/2022/IT O+c+ o0 o+ ~t-~ ~c·_~, ~, nc;t+GC -10 8CC O+~wO- ++0 -:J-
~~~~~~y OF 00 O+C,OC':jG i () ..OO( ,.~0
HOME AFFAIRS
~q
C
port
crimes at
c",REQUIRES_REVIEW,MoRTH_MOTOR,LOW
"Ministry of Road Transport & Highways
www.morth.nic.in
Government of India
GST IS GOOD AND
SIMPLE TAX
Accelerating India's Logistics Sector
Ministry of Road Transport & Highways
www.morth.nic.in
Government of India
PRE GST INDIA
Tax Terrorism
17 indirect taxes +
23 types of cess
POST GST INDIA
One India, One Tax
All indirect taxes &
cesses subsumed
into GST
MoRTHIndia @MoRTHIndia MoRTHIndia
Ministry of Road Transport & Highways
www.morth.nic.in
Government of India
PRE GST INDIA
Idling of Trucks
A typical truck spent 20% of its run time at interstate checkposts. On an
average, a truck in India runs an annual distance of 60,000 km as
against 200,000 km in the West.
Result: substantial increase in freight cost (Pre GST)
Let’s see the Chennai - Kolkata route
Pre GST 50-65 hours
of transit time
Significant reduction in
travel time on the same
route
Figure 1: Breakup of freight transit time (in hours) for logistics players on Chennai-Kolkata route
Source: Primary interviews with transporters",COMPLIANT,MoRTH_MOTOR,HIGH
"रजिस्ट्री स.ं डी.एल.- 33004/99 REGD. No. D. L.-33004/99
सी.जी.-डी.एल.-अ.-02072025-264315
CG-DxLx-xEG-I0D2H0x7x2x0 25-264315
xxxGIDExxx
असाधारण
EXTRAORDINARY
भाग II—खण् ड 3—उप-खण्ड (i)
PART II—Section 3—Sub-section (i)
प्राजधकार स ेप्रकाजित
PUBLISHED BY AUTHORITY
स.ं 394] नई दिल्ली, मगं लवार, िुलाई 1, 2025/आषाढ़ 10, 1947
No. 394] NEW DELHI, TUESDAY, JULY 1, 2025/ASHADHA 10, 1947
सड़क पररवहन और रािमाग गमत्रं ालय
अजधसचू ना
नई दिल्ली, 1 िुलाई, 2025
सा.का.जन. 437(अ).—केन्द्रीय सरकार, राष्ट्रीय रािमागग अजधजनयम, 1956 (1956 का 48) की धारा 9 द्वारा प्रित्त
िजियों का प्रयोग करत े हुए, राष्ट्रीय रािमाग ग फीस (िरों का अवधारण और सग्रं हण) जनयम, 2008 का और संिोधन करन े
के जलए जनम्नजलजखत जनयम बनाती ह,ै अर्ागत:् -
1. (1) इन जनयमों का संजिप्त नाम राष्ट्रीय रािमागग फीस (िरों का अवधारण और सग्रं हण) (िसू रा संिोधन) जनयम,
2025 ह।ै
(2) य ेरािपत्र में प्रकािन की तारीख को प्रवृत्त होंगे।
2. राष्ट्रीय रािमाग ग फीस (िरों का अवधारण और संग्रहण) जनयम, 2008 के जनयम 4 के उपजनयम (10) के स्ट्र्ान पर
जनम्नजलजखत उपजनयम ",REQUIRES_REVIEW,MoRTH,LOW
"रजिस्ट्री स.ं डी.एल.- 33004/99 REGD. No. D. L.-33004/99
ससीी..जजीी..--डडीी..एएलल..--अअ..--0022007722002255--226644229999
CCGG--DDxLLx--xEEG--I00D22H00x77x22x00 2255--226644229999
xxxGIDExxx
असाधारण
EXTRAORDINARY
भाग II—खण् ड 3—उप-खण्ड (i)
PART II—Section 3—Sub-section (i)
प्राजधकार स ेप्रकाजित
PUBLISHED BY AUTHORITY
स.ं 388] नई दिल्ली, सोमवार, िनू 30, 2025/आषाढ़ 9, 1947
No. 388] NEW DELHI, MONDAY, JUNE 30, 2025/ASHADHA 9, 1947
सड़क पररवहन और रािमाग गमत्रं ालय
अजधसचू ना
नई दिल्ली, 27 िून, 2025
सा.का.जन. 431(अ).—केंद्रीय मोटर यान जनयमावली, 1989, जिनम ें केंद्र सरकार मोटर यान अजधजनयम, 1988
(1988 का 59) की धारा 110 के द्वारा प्रित्त िजियों का प्रयोग करत े हुए संिोधन करन े का प्रस्ट्ताव करती ह,ै म ें और
अजधक संिोधन करते हुए जनम्नजलजखत प्रारूप जनयमों को इस अजधजनयम की धारा 212 की उप-धारा (1) के द्वारा
यथावश्यक इसके द्वारा प्रभाजवत होन े की संभावना वाल े सभी व्यजियों की िानकारी के जलए एतिद्वारा प्रकाजित दकया
िाता ह;ै और एतिद्वारा नोरटस दिया िाता ह ैदक प्रारूप जनयमों को उस तारीख स े तीस दिन की ",COMPLIANT,MoRTH,HIGH
